departamento,ano,total_casos
AMAZONAS,2020,873
AMAZONAS,2021,2369
AMAZONAS,2022,3575
AMAZONAS,2023,3271
ANCASH,2021,28
ANCASH,2022,2145
ANCASH,2023,11658
AREQUIPA,2021,7
AYACUCHO,2020,1583
AYACUCHO,2021,1663
AYACUCHO,2022,782
AYACUCHO,2023,695
CAJAMARCA,2020,266
CAJAMARCA,2021,4015
CAJAMARCA,2022,3639
CAJAMARCA,2023,7451
CALLAO,2020,4
CALLAO,2021,9
CALLAO,2022,8
CALLAO,2023,2356
CUSCO,2020,2499
CUSCO,2021,1982
CUSCO,2022,3687
CUSCO,2023,2630
HUANUCO,2020,1133
HUANUCO,2021,2811
HUANUCO,2022,1580
HUANUCO,2023,2298
ICA,2020,7144
ICA,2021,4208
ICA,2022,5084
ICA,2023,16889
JUNIN,2020,3738
JUNIN,2021,5090
JUNIN,2022,4157
JUNIN,2023,3580
LA LIBERTAD,2020,390
LA LIBERTAD,2021,262
LA LIBERTAD,2022,162
LA LIBERTAD,2023,26502
LAMBAYEQUE,2020,568
LAMBAYEQUE,2021,843
LAMBAYEQUE,2022,2386
LAMBAYEQUE,2023,31460
LIMA,2020,350
LIMA,2021,1190
LIMA,2022,938
LIMA,2023,30735
LORETO,2020,7800
LORETO,2021,5115
LORETO,2022,8926
LORETO,2023,6582
MADRE DE DIOS,2020,3233
MADRE DE DIOS,2021,1333
MADRE DE DIOS,2022,3641
MADRE DE DIOS,2023,1853
PASCO,2020,377
PASCO,2021,616
PASCO,2022,496
PASCO,2023,1156
PIURA,2020,125
PIURA,2021,4072
PIURA,2022,12150
PIURA,2023,79304
PUNO,2020,20
PUNO,2021,51
PUNO,2022,25
PUNO,2023,267
SAN MARTIN,2020,4955
SAN MARTIN,2021,4532
SAN MARTIN,2022,4270
SAN MARTIN,2023,6890
TUMBES,2020,3093
TUMBES,2021,1455
TUMBES,2022,723
TUMBES,2023,12890
UCAYALI,2020,9781
UCAYALI,2021,3140
UCAYALI,2022,4842
UCAYALI,2023,8174
